error_id	error_type	error_layer	cx	cy	dist	access_x	access_y	cell	pin	access_status	ref	via_window_verdict	via_window_class
69	Off-grid	M2 (13)	172.758	225.048	0.03505709628591173	172.76	225.013	u_core/core_i/U937	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
70	Off-grid	VIA1 (12)	172.758	225.048	0.03505709628591173	172.76	225.013	u_core/core_i/U937	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
71	Off-grid	VIA1 (12)	169.11	225.048	0.03505709628591173	169.112	225.013	u_core/core_i/U2032	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
72	Off-grid	M2 (13)	169.11	225.048	0.03505709628591173	169.112	225.013	u_core/core_i/U2032	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
73	Off-grid	VIA1 (12)	174.734	225.048	0.03505709628591173	174.736	225.013	u_core/core_i/U927	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
74	Off-grid	M2 (13)	174.734	225.048	0.03505709628591173	174.736	225.013	u_core/core_i/U927	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
75	Off-grid	M2 (13)	195.71	221.704	0.03505709628591173	195.712	221.669	u_core/core_i/U1778	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
76	Off-grid	VIA1 (12)	195.71	221.704	0.03505709628591173	195.712	221.669	u_core/core_i/U1778	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
77	Off-grid	M2 (13)	211.366	222.92	0.001999999999981128	211.368	222.92	u_core/core_i/U3140	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
78	Off-grid	VIA1 (12)	211.366	222.92	0.001999999999981128	211.368	222.92	u_core/core_i/U3140	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
79	Off-grid	M2 (13)	225.325	226.264	0.027000000000015234	225.352	226.264	u_core/core_i/U3879	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
80	Off-grid	VIA1 (12)	225.325	226.264	0.027000000000015234	225.352	226.264	u_core/core_i/U3879	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
81	Off-grid	M2 (13)	216.965	218.36	0.044204072210612434	216.992	218.325	u_core/core_i/U4246	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
82	Off-grid	VIA1 (12)	216.965	218.36	0.044204072210612434	216.992	218.325	u_core/core_i/U4246	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
83	Off-grid	M2 (13)	234.597	222.92	0.026999999999986812	234.624	222.92	u_core/core_i/U4279	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
84	Off-grid	VIA1 (12)	234.597	222.92	0.026999999999986812	234.624	222.92	u_core/core_i/U4279	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
87	Off-grid	M2 (13)	268.214	226.264	0.0020000000000095497	268.216	226.264	u_core/core_i/id_stage_i/U178	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
88	Off-grid	VIA1 (12)	268.214	226.264	0.0020000000000095497	268.216	226.264	u_core/core_i/id_stage_i/U178	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
91	Off-grid	VIA1 (12)	298.462	245.112	0.03505709628591335	298.464	245.077	u_core/core_i/U4423	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
92	Off-grid	M2 (13)	298.462	245.112	0.03505709628591335	298.464	245.077	u_core/core_i/U4423	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
93	Off-grid	VIA1 (12)	186.742	256.36	0.0020000000000095497	186.744	256.36	u_core/core_i/U1414	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
94	Off-grid	M2 (13)	186.742	256.36	0.0020000000000095497	186.744	256.36	u_core/core_i/U1414	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
95	Off-grid	M2 (13)	211.062	253.016	0.001999999999981128	211.064	253.016	u_core/core_i/U3800	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
96	Off-grid	VIA1 (12)	211.062	253.016	0.001999999999981128	211.064	253.016	u_core/core_i/U3800	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
97	Off-grid	VIA1 (12)	246.301	261.68	0.027000000000015234	246.328	261.68	u_core/core_i/U1091	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
98	Off-grid	M2 (13)	246.301	261.68	0.027000000000015234	246.328	261.68	u_core/core_i/U1091	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
