ref_name	cell_name	pin_name	x	y	bucket50	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.368	66.968	000-050,050-100	1	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.368	66.978	000-050,050-100	1	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0	150-200,150-200	2	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0045	150-200,150-200	2	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0022	150-200,150-200	2	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.428	050-100,100-150	3	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.448	050-100,100-150	3	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.438	050-100,100-150	3	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.568	050-100,100-150	4	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.6015	050-100,100-150	4	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.5847	050-100,100-150	4	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][22]	Q	119.712	156.496	100-150,150-200	5	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[27][30]	Q	80.344	137.648	050-100,100-150	6	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][10]	QN	199.664	63.016	150-200,050-100	7	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][23]	Q	220.336	23.952	200-250,000-050	8	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.296	44.4385	150-200,000-050	9	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.296	44.472	150-200,000-050	9	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.296	44.4552	150-200,000-050	9	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.664	44.928	150-200,000-050	10	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.664	44.9325	150-200,000-050	10	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.664	44.9302	150-200,000-050	10	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][17]	CLK	200.424	40.216	200-250,000-050	11	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][17]	CLK	200.424	40.226	200-250,000-050	11	2
