ref_name	cell_name	pin_name	point_x	point_y	point_bucket50	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket50	distance_um
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][13]	RSTB	140.3840	28.2080	100-150,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	51.3708
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][13]	RSTB	140.3840	28.2125	100-150,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	51.3666
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][13]	RSTB	140.3840	28.2102	100-150,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	51.3688
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][18]	RSTB	159.6880	31.5520	150-200,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	58.6271
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][18]	RSTB	159.6880	31.5565	150-200,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	58.6237
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][18]	RSTB	159.6880	31.5542	150-200,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	58.6254
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][4]	RSTB	159.6880	75.0240	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	24.6863
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][4]	RSTB	159.6880	75.0285	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	24.6840
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][4]	RSTB	159.6880	75.0262	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	24.6852
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][18]	RSTB	119.7120	51.9155	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	24.0513
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][18]	RSTB	119.7120	51.9200	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	24.0468
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][18]	RSTB	119.7120	51.9177	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	24.0491
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][25]	CLK	119.7120	53.5920	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	22.3771
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][25]	CLK	119.7120	53.6120	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	22.3571
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[16][25]	CLK	119.7120	53.6020	100-150,050-100	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	22.3671
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][7]	CLK	220.3360	80.0200	200-250,050-100	53	Diff net spacing	M1 (11)	235.6880	88.0075	200-250,050-100	17.3056
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][7]	CLK	220.3360	80.0400	200-250,050-100	53	Diff net spacing	M1 (11)	235.6880	88.0075	200-250,050-100	17.2964
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][7]	CLK	220.3360	80.0300	200-250,050-100	53	Diff net spacing	M1 (11)	235.6880	88.0075	200-250,050-100	17.3010
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][31]	RSTB	199.6640	71.9795	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	33.1056
