ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.824	300-320,140-160	no	91	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.8072	300-320,140-160	no	91	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.64	150.568	220-240,140-160	no	92	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.64	150.578	220-240,140-160	no	92	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4	143.88	240-260,140-160	no	93	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4	143.89	240-260,140-160	no	93	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.7075	260-280,180-200	yes	94	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.712	260-280,180-200	yes	94	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.7097	260-280,180-200	yes	94	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.088	240-260,080-100	no	95	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.0925	240-260,080-100	no	95	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.0902	240-260,080-100	no	95	3
SDFFARX1_RVT	u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.64	277.64	220-240,260-280	no	105	1
SDFFARX1_RVT	u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.64	277.65	220-240,260-280	no	105	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.3875	280-300,080-100	no	106	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.392	280-300,080-100	no	106	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.3897	280-300,080-100	no	106	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/flush_cnt_q_reg[1]	Q	299.68	126.4	280-300,120-140	no	107	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.6835	240-260,280-300	no	108	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.688	240-260,280-300	no	108	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.6857	240-260,280-300	no	108	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.256	240-260,240-260	yes	109	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.2605	240-260,240-260	yes	109	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.2582	240-260,240-260	yes	109	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.8675	240-260,240-260	yes	110	1
